Comment,Sentiment Score,QR Sentiment,Entity Sentiments
"I haven't received a unique code!",-0.800000011920929,N/A,"code:-0.10000000149011612, "
"Can't get through",-0.800000011920929,N/A,""
"It's very difficult to scan the barcode, after 7 attempts I gave up, no point in having the app if this is the case. I will try again in a different venue",-0.6000000238418579,N/A,"point:-0.5, barcode:-0.20000000298023224, attempts:-0.4000000059604645, app:-0.699999988079071, venue:0, "
"When will this be available for all? I work in Newham but can't download the app. Shouldn't this app be expedited for everyone by now?",-0.5,N/A,"all:0, everyone:0, app:-0.800000011920929, Newham:0, app:-0.800000011920929, "
"I'm an NHS Volunteer Responder and have been invited to trial the app. Download and set up was easy, I was emailed an access code for the trial which I needed to input, plus my postcode. After that it's very easy to follow and the instructions are really simple - the contact proximity tracing looks ...",0.5,N/A,"NHS Volunteer Responder:0, app:-0.10000000149011612, trial:0, Download:0.4000000059604645, access code:0, instructions:0.8999999761581421, contact proximity tracing:0.8999999761581421, postcode:0.20000000298023224, "
"Excellent",0.8999999761581421,N/A,"Excellent:0.8999999761581421, "
"No code to use the app.",-0.800000011920929,N/A,"code:-0.4000000059604645, app:-0.6000000238418579, "
"Not for UK",-0.699999988079071,N/A,"UK:-0.10000000149011612, "
"Pretty easy to use and not that difficult to understand. But the codes should be different for everyone in the country as it can be confusing using the same 5 codes for so many people.",0.20000000298023224,N/A,"codes:-0.10000000149011612, everyone:0, country:0, codes:0, people:0, "
"downloaded as I work in hospitality and quite nervous about being in work, so wanted some reassurance if I do come into contact with someone. Apps not clear how you get the code to sign up.",-0.30000001192092896,N/A,"hospitality:0, reassurance:0, work:0, contact:0, code:0, someone:0, Apps:-0.699999988079071, "
"Been trying for 2 hours solid to download onto my Samsung Galaxy j5. The previous app downloaded in seconds.. **** has now downloaded.",-0.20000000298023224,N/A,"j5:0, Samsung Galaxy:0, app:0, "
"I have downloaded the app and once I open it it asks you to continue but despite trying several attempts it will not let me continue",-0.8999999761581421,N/A,"app:-0.5, attempts:-0.30000001192092896, "
"Apparently I need a code and I'm not being sent one, how do I get a code to use the app.",-0.699999988079071,N/A,"code:0, app:-0.4000000059604645, code:0, "
"Just installed the app. One question : where from do I get my unique code?",0,N/A,"app:0, question:0, code:0.20000000298023224, "
"Only just installed the app. As a NHS Responder I'm apparently in one of the groups which can use the Track 'n' Trace app for now. I do agree with another reviewer regarding the email informing us of the availability of this app could've be a bit better organised. A bulleted order list of the steps ...",0,N/A,"app:0, NHS:0, groups:0, one:0, Responder:0, app:0.30000001192092896, email:0, reviewer:0, bit:0, Track 'n' Trace:0.30000001192092896, order list:0, steps:0, availability:0, "
"I haven't got a code to use the app so it's not easy to use and it doesn't show you what it really means I only downloaded it for while I was at Isla write in case I got in contact with some one with the virus",-0.800000011920929,N/A,"app:-0.4000000059604645, code:-0.10000000149011612, case:0, contact:-0.10000000149011612, one:-0.10000000149011612, virus:-0.6000000238418579, Isla:0, "
"Doesnt work says need a number to start app up but never recieved one neither has alot of friends",-0.800000011920929,N/A,"work:-0.800000011920929, app:-0.20000000298023224, number:0, alot:0, friends:0, "
"Unfortunately none of the invitation codes allocated to my household were considered valid so unable to use. Response from developer unhelpful as I was already aware of that information, and none of the codes I received had already been used by my household. I'd already submitted a technical problem...",-0.699999988079071,N/A,"household:-0.10000000149011612, none:-0.699999988079071, invitation codes:-0.6000000238418579, none:-0.699999988079071, Response:-0.6000000238418579, developer:-0.800000011920929, information:-0.4000000059604645, problem:-0.800000011920929, codes:-0.6000000238418579, "
"We can't even get the app right",-0.800000011920929,N/A,"app right:-0.5, "
"I tried using the T&T yesterday at a restaurant I visited. They had the QR code & I tried to scan it twice. I had a message cone up on the screen of my Samsung phone " sorry, something went wrong" felt kind of deflated that it was unsuccessful for me. First time I've been out socially since lock dow...",-0.4000000059604645,-0.10000000149011612,"restaurant:0, T&T:0, QR code:-0.10000000149011612, something:-0.699999988079071, message cone:-0.10000000149011612, screen:-0.10000000149011612, phone:-0.10000000149011612, time:0, Samsung:0, lock:-0.20000000298023224, "
"Loses one star for incorrectly interpreting my comments and then sending pointless response. Download and install is simple but unless you have been allocated a one-time code, you will not be able to activate the app. Wording in the summary is wrong "have been given a unique code to install the app"...",-0.699999988079071,N/A,"star:-0.800000011920929, comments:-0.30000001192092896, response:-0.8999999761581421, Download:0, code:0, app:-0.10000000149011612, code:0.4000000059604645, Wording:-0.10000000149011612, app:-0.20000000298023224, summary:-0.20000000298023224, "
"Downloaded, installed. All worked ok. However two things. The key given is shown in email as 3digits-3digits but when entering the code the - does not appear automatically so spent ages trying to enter the - before I did without and it appeared as I entered the 4th digit. Also tried signing up to th...",-0.20000000298023224,N/A,"All:0.6000000238418579, things:0, key:0, code:0, email:0, ages:-0.10000000149011612, digit:0, 3digits-3digits:0, "
"Where is the code, no correspondence from any one any where Not very good is it",-0.699999988079071,N/A,"code:-0.10000000149011612, correspondence:-0.6000000238418579, "
"So far so good. Nice clean design. Easy to navigate. Let's see how it does out in the wild..",0.6000000238418579,N/A,"design:0.8999999761581421, wild:0, "
"I've a code but can't get past the first page to enter it! Is my phone too old? It is a Galaxy J3. My phone is Version 9, no idea whether it is BLE 4 or above. I give up!",-0.4000000059604645,N/A,"Version:-0.10000000149011612, idea:-0.4000000059604645, code:0, Galaxy J3:0, page:0, "
"We don't get any feedback",-0.800000011920929,N/A,"feedback:-0.699999988079071, "
"I've got it INSTALLED but there is no OPEN box to open it. I cannot find it in my list of apps. It doesn't show up on my app pages. I have a Unique Code but I have NOT been asked for it during the very simple installation. I've read everything on this site page - there is nothing about using the Uni...",-0.699999988079071,N/A,"OPEN box:-0.4000000059604645, Unique Code:0, app pages:-0.10000000149011612, apps:-0.20000000298023224, list:0, everything:0, site page:-0.30000001192092896, nothing:-0.5, installation:0.10000000149011612, Uni:-0.20000000298023224, "
"No use without a code",-0.699999988079071,N/A,"use:-0.10000000149011612, code:0, "
"Just installed the App as i am an NHS volunteer, first thoughts are its laid out well, and easy to use , some good tabs one for latest information and there is one for checking in to a venue which is a good feature so far all looks good.",0.800000011920929,N/A,"volunteer:0.20000000298023224, App:0.699999988079071, venue:0.699999988079071, thoughts:0.5, tabs:0.8999999761581421, information:0.6000000238418579, feature:0.8999999761581421, NHS:0.20000000298023224, all:0.8999999761581421, one:0.6000000238418579, "
"Pretty pointless at the minute and won't load on my new phone. I don't know how much the UK government have spent on this so far, but by the time they get it right it will no longer be relevant. The developer had since contacted me (below) but to no avail. My phone is running way ahead of the spend ...",-0.5,N/A,"government:-0.30000001192092896, phone:0.30000001192092896, phone:-0.30000001192092896, avail:-0.8999999761581421, UK:-0.10000000149011612, spend:0, developer:-0.10000000149011612, way:0.10000000149011612, "
"QR code in location visited was not scanning on this app.... visited my gym and the QR code did work.... can't wait for this to be more usable across London and UK",-0.10000000149011612,0.30000001192092896,"QR code:-0.20000000298023224, location:0, QR code:0.30000001192092896, gym:0, app:-0.800000011920929, London:0.10000000149011612, UK:0.10000000149011612, "
"When is this available to the rest of the UK?",0,N/A,"rest:0, UK:0, "
"September 2020. Available in only 2 UK locations. Let that sink in.......",0,N/A,"locations:0, UK:0, "
"A slick interface that is clear to understand with the option to disable/pause tracing functionality clearly marked. (Presumably for health workers that may be near diagnosed patients) Integration of the Google API makes battery impact non-existent. The location QR code scanner is a good feature for...",0.20000000298023224,0.8999999761581421,"interface:0.4000000059604645, option:0, location QR code scanner:0.8999999761581421, tracing functionality:0, Integration:0, health workers:0, patients:0, battery impact:-0.5, Google API:0, "
"Easy to download and set up. Code worked first time and app provides access to lots of information. I am also now more aware of the risk level in my postcode area.",0.699999988079071,N/A,"Code:0.4000000059604645, lots:0.5, app:0.6000000238418579, information:0.699999988079071, access:0.6000000238418579, risk level:0, postcode area:0, "
"QR check in code never works",-0.800000011920929,-0.4000000059604645,"QR:-0.4000000059604645, check:-0.4000000059604645, code:-0.6000000238418579, "
"can't start using unless you have received a magic unique code. brilliant.",0.20000000298023224,N/A,"code:0.699999988079071, "
"Seems to work really well. Super simple setup. People stop giving it 1* because you don't have a signup code. That is not what the rating system is for.",0.10000000149011612,N/A,"setup:0.8999999761581421, People:-0.20000000298023224, rating system:-0.4000000059604645, signup code:-0.10000000149011612, "
"If the app is Bluetooth,it should follow you outside of the borough of Newham",-0.20000000298023224,N/A,"app:0, Bluetooth:0, borough:0, Newham:0, "
"A rotten app which I suppose is all one can expect when one considers that it was probably designed by a politically correct ex university idiot. UNINSTALLED",-0.20000000298023224,N/A,"app:-0.6000000238418579, one:0, ex university idiot:-0.6000000238418579, UNINSTALLED:0, "
"Installed app, where do I get my code to input into the app ??",-0.20000000298023224,N/A,"app:0, code:0, app:0, "
"OK",0.5,N/A,""
"Boris promised us a "world beating app" on 20th May by the end of June. It is now the end of AUGUST and we are still waiting for this "world beating app".",-0.5,N/A,"app:0, world:-0.10000000149011612, Boris:0.10000000149011612, end:0, world:-0.10000000149011612, app:0, "
"Not a great start. Followed the procedure to install the app, didn't get the usual option tho open it once installed as usually happens with any newly installed apps but it says it's installed but I can't find it anywhere on my phone at all. Even using the search function in apps under settings draw...",-0.6000000238418579,N/A,"option:-0.4000000059604645, start:-0.8999999761581421, procedure:-0.10000000149011612, app:-0.6000000238418579, apps:-0.20000000298023224, phone:-0.10000000149011612, apps:0, search function:0, settings:-0.10000000149011612, "
"It's asking for a unique code from a email or letting that being sent",-0.699999988079071,N/A,"code:0.20000000298023224, email:0, "
"So we've all got the option to turn on Covid-19 and have had for about a month? But by the looks of it there are 3 apps none of them can be used! What are we ment to do? More work for NHS if we can't use the apps.",-0.4000000059604645,N/A,"option:0, apps:-0.10000000149011612, Covid-19:0, none:-0.4000000059604645, looks:0, work:0, apps:-0.20000000298023224, NHS:0, "
"I would like to know when will this app be available in england. I am going on hoilday to isle of wight next month. I will be able to use the app. I would like a code please",-0.10000000149011612,N/A,"app:0.10000000149011612, england:0, hoilday:0, isle of wight:0, app:0.699999988079071, code:0, "
"How do we get a code? It seems a little bit strange that Aylesbury Vale / Milton Keynes isn't worth including. I thought that this was UK wide initiative.",-0.30000001192092896,N/A,"code:0, initiative:0.4000000059604645, Aylesbury Vale:-0.20000000298023224, Milton Keynes:-0.30000001192092896, UK:0.5, "
"As good as the last one, doesn't work. Crashes out on loading on a Samsung Tab--s2. App installed but will not load. UK Government does it again, can't manage IT projects. Doesn't get to the point of offering me a code. Faulty app. The last one they said, oh doesn't work with tablets. Not a tablet. ...",-0.5,N/A,"Tab:-0.10000000149011612, App:-0.5, Government:-0.6000000238418579, IT projects:-0.5, Samsung:-0.10000000149011612, one:-0.20000000298023224, UK:-0.699999988079071, tablets:-0.20000000298023224, tablet:-0.20000000298023224, app:-0.8999999761581421, point:-0.30000001192092896, code:-0.20000000298023224, "
"I can't download it on my parent's phones as it requires IOS 13.5 or higher. Shame that.",-0.800000011920929,N/A,"phones:-0.10000000149011612, parent:0, IOS:-0.20000000298023224, "
"Did it cause my battery to run down? Took it off my phone before I used the app at all because my battery seemed to run down fast and I was suspicious that this was the cause.",-0.5,N/A,"battery:-0.4000000059604645, app:-0.20000000298023224, phone:0, "
"I'm a Newham resident and visited Bristol at the weekend, the QR code scanner didn't work anywhere. I understand the scanner only works in Newham and the Isle of wight, but what's the point in building it like that? surely people will travel to other and cities and want to check in anywhere. Also wh...",-0.20000000298023224,-0.8999999761581421,"resident:0, Bristol:0, Newham:0, QR code scanner:-0.8999999761581421, point:0, anywhere:0.10000000149011612, scanner:-0.10000000149011612, cities:0, Isle of wight:0, anywhere:0.10000000149011612, people:0, "
"Simple to install and use. I do have one question about the QR venue scanning- I couldnt see what sort of venues will be covered. Is this just pubs and restaurants, or will it cover hair dressers, shops, place of work etc. Essentially, do I need to be asking for every business premises I go into in ...",0,0,"venue scanning:0, question:0, pubs:0, venues:0, restaurants:0, sort:0, QR:0, hair dressers:0, business premises:0, place:0, work:0, shops:0, "
"Not able to install ,code didn't work",-0.800000011920929,N/A,"code:-0.8999999761581421, "
"Installs perfectly, zero problems. Giving this a five to offset the gentleman who said it wasn't installed. Kindly learn how to use your phone (aka RTFM) before blaming any application. It's not rocket science, honestly ! If you can't see any app, including this one, it's because your phone will put...",-0.20000000298023224,N/A,"problems:0.8999999761581421, gentleman:-0.20000000298023224, RTFM:0, application:-0.20000000298023224, app:-0.10000000149011612, phone:0, rocket science:0, "
"Works on both android 7 and android 8 phones fine. Had to reinstall app after installing google services on the android 8 phone. Has better U.I and more info than previous trial app. Letter containing code arrived through our letterbox on the 15th, not the 14th.",0.10000000149011612,N/A,"android:0, Works:0.5, phones:0.20000000298023224, android:-0.10000000149011612, phone:-0.10000000149011612, app:-0.5, google services:-0.20000000298023224, info:0.8999999761581421, letterbox:0, U.I:0.8999999761581421, trial app:0.20000000298023224, Letter:-0.20000000298023224, code:0, "
"Will only install on one of my phone's. Is it possible to install on my work phone too?",-0.30000001192092896,N/A,"one:0, phone:0, work phone:0, "
"So far so good. Installed it a few days ago as a NHS responder. Having read about it from various media outlets in the past few months, I was a bit concerned about how much keeping Bluetooth on all the time will drain the battery but so far it hasn't resulted in any significant battery drainage. Ple...",0.30000001192092896,N/A,"battery:0, responder:0, media outlets:0, NHS:0, Bluetooth:0, battery drainage:-0.20000000298023224, "
"App easy to use. Not sure if it has effected my Nike running club app since loading",0.10000000149011612,N/A,"App:0.8999999761581421, running club app:-0.20000000298023224, Nike:-0.10000000149011612, "
"I couldn't install the app and it won't download get me onto the homepage",-0.800000011920929,N/A,"app:-0.8999999761581421, homepage:-0.30000001192092896, "
"What's the point this should be available nationally. Non of this enter the code rubbish. The English government think they are now playing a game.",-0.699999988079071,N/A,"point:0, government:0, Non:-0.6000000238418579, code rubbish:-0.6000000238418579, game:0, English:0, "
"'world beating' as long as you live in Isle of White or Newham. Ireland's got an app, why doesn't the rest of the UK? Maybe Dominic's gone back to Barnard Castle to test his eyes so can't give Boris the nod to release it.",-0.4000000059604645,N/A,"world beating:0.20000000298023224, Dominic:-0.10000000149011612, Isle of White:0, Newham:0, rest:0, nod:0, Ireland:0, eyes:-0.10000000149011612, app:-0.10000000149011612, UK:0, Boris:-0.10000000149011612, Barnard Castle:0, "
"Easy to download and use. Fingers crossed for a successful roll out. After reading other reviews I wasn't sure where my code was either it's easy to miss amongst all the text. If this was highlighted somehow it would help.",0.20000000298023224,N/A,"code:-0.10000000149011612, Fingers:0, roll:0.4000000059604645, reviews:-0.10000000149011612, text:-0.10000000149011612, "
"Downloaded but says I cannot use this app.... I have an invitation letter though.",-0.4000000059604645,N/A,"app:-0.8999999761581421, invitation letter:0, "
"Downloaded the app, it does not work. I try pressing "Continue" on the first screen, but nothing happens.",-0.8999999761581421,N/A,"app:-0.8999999761581421, nothing:-0.800000011920929, screen:0, "
"Hi I download the app it's fine but its asking me for a special code but I haven't got one",-0.699999988079071,N/A,"app:-0.10000000149011612, code:0, "
"Downloaded easily & seems to load well.",0.8999999761581421,N/A,""
"Would like to download the app, apparently I need a code, and only available currently in Northern Ireland?",-0.4000000059604645,N/A,"app:0, code:0, Northern Ireland:0, "
"Why does it want my credit card details SCAM",-0.800000011920929,N/A,"credit card:-0.30000001192092896, SCAM:-0.800000011920929, "
""unfortunately, you can't run this app"",-0.800000011920929,N/A,"app:-0.800000011920929, "
"Download was simple. Looks good and easy to use. Reading the reviews it appears that some people having trouble have maybe not bothered to read that it requires a code and only available in certain areas. Perhaps this should be displayed more prominently at the top of the information to download the...",0.10000000149011612,N/A,"Download:0.800000011920929, reviews:0, people:-0.20000000298023224, trouble:-0.800000011920929, top:0, information:0, code:-0.10000000149011612, areas:0, "
"Want to use but have no code, how do I get a code or is it only in iow.",-0.4000000059604645,N/A,"code:-0.4000000059604645, code:-0.10000000149011612, iow:0, "
"Great",0.8999999761581421,N/A,""
"Incredibly easy to understand and set up, all working smoothly (note: I had a code to take part in the trial)",0.8999999761581421,N/A,"note:0.4000000059604645, part:0.20000000298023224, trial:0.30000001192092896, code:0.4000000059604645, "
"I'm a voluntary responder ive download the track and trace app its easy and very clear to use and see. Tells me lots of information about latest news ect Very good app I say",0.800000011920929,N/A,"responder:0.10000000149011612, app:0.8999999761581421, track:0.20000000298023224, trace:0.6000000238418579, news:0.20000000298023224, app:0.8999999761581421, information:0.8999999761581421, lots:0.699999988079071, "
"Downloaded as NHS Volunteer Responder. Due to Post Code only using first part it says I am in a high risk area which is incorrect. The app needs to use more bespoke post codes ie the first digit of the second batch to be realistic for wider roll out. Submitted as a suggestion so email back advising ...",-0.30000001192092896,N/A,"Post Code:-0.20000000298023224, NHS Volunteer Responder:0, risk area:-0.5, part:0, post codes:0, app:-0.4000000059604645, roll:0, suggestion:0, email:0, digit:0, batch:0, "
"Confused as to why it needs an Invite code. How bad can it be if we aren't allowed to use it? Surely gathering more data and having the odd false positive alert/match is better than hiding it behind an invite system?",-0.699999988079071,N/A,"Invite code:-0.20000000298023224, data:-0.10000000149011612, match:0.20000000298023224, invite system:-0.20000000298023224, alert:-0.4000000059604645, "
"I am living in Newham area but I did not receive a code yet, not by post or email. Plus I am working as a care assistant .",-0.20000000298023224,N/A,"area:0, code:-0.20000000298023224, post:-0.20000000298023224, Newham:0, email:-0.20000000298023224, care assistant:0.20000000298023224, "
"Didnt realize it was a localised app for a specific area hence why I can o ly give a neutral review as I was not actually.able to use it.",-0.6000000238418579,N/A,"Didnt:-0.20000000298023224, o ly:0, area:0, review:0, "
"Easy to install and use. It would be good if you could be advised of the risk level in your current location as well as your home postcode. Those complaining that it does not work probably don't have an access code or are trying to use someone else's!",0.20000000298023224,N/A,"location:0, risk level:0, home postcode:0, access code:-0.20000000298023224, someone:0, "
"Before the school starts, I would like to suggest, this spp should available for whole UK",0,N/A,"school:0, spp:0.20000000298023224, UK:0.10000000149011612, "
"I have an LG and it won't download.",-0.8999999761581421,N/A,"LG:-0.5, "
"App doesn't work with the galaxy fold, get a message advising that my phone is a tablet",-0.800000011920929,N/A,"App:-0.8999999761581421, tablet:-0.10000000149011612, message:-0.10000000149011612, galaxy fold:-0.10000000149011612, "
"Downloaded app and asked to add a code, which is supposed to be emailed. Still waiting for this 5 days later. Yes my email is correct Not in junk folder as suggested",-0.6000000238418579,N/A,"code:0, app:-0.10000000149011612, junk folder:-0.20000000298023224, email:0.30000001192092896, "
"Wast of time downloading the app because the code doesn't work pointless",-0.800000011920929,N/A,"code:-0.800000011920929, app:-0.699999988079071, "
"Downloaded the app...no code sent to access it. Don't waste your time ??",-0.6000000238418579,N/A,"app:-0.699999988079071, code:-0.4000000059604645, "
"Huawei p30 - it will not allow users to progress beyond the continue button on the entry screen",-0.699999988079071,N/A,"Huawei:-0.6000000238418579, users:0, entry screen:0, continue button:-0.10000000149011612, "
